14011	1	3149
4173	1	211
25623	1	1673
24797	45	1631
1693	9	175
5959	1	285
2587	11	1233
27565	3	953
8345	11	1101
6293	1	5411
9679	29	2345
17927	13	2143
29099	37	12199
7355	25	2773
22403	3	953
10739	1	923
18951	3	1423
7567	5	1287
20519	29	17343
5815	13	1031
2533	9	703
8087	13	1863
3573	9	1269
4133	1	49
3903	1	409
23059	31	4767
6795	1	105
7485	7	1275
6387	3	1351
1671	1	123
5933	1	5407
6427	15	153
11135	1	1327
7277	19	385
5219	11	511
4925	1	105
9967	7	8011
15711	3	2611
7013	9	843
11575	1	127
14123	1	371
10071	19	5585
5947	7	9627
3655	1	1257
16811	21	823
5601	9	77
3827	1	253
18411	17	737
3997	9	183
14901	29	1767
20647	3	459
8333	51	2825
3085	1	1217
2731	1	1789
1091	11	1225
2245	35	301
17151	21	823
23215	23	2059
3057	9	103
10563	7	4977
16849	1	2127
3317	1	2045
7635	1	2029
11653	5	241
13049	31	2479
5229	15	115
14127	47	5161
11789	1	1177
5997	5	2595
2317	9	1779
10641	13	1871
10759	9	21457
24137	57	559
25129	7	25499
7929	15	647
13037	35	8923
13627	1	315
11563	13	861
6801	21	627
2915	9	159
27795	3	3821
5503	7	2219
3249	11	1099
10223	71	169
24931	5	107
5211	11	1919
11019	27	411
8289	1	5313
21215	23	1467
15241	1	485
13363	19	2809
10639	13	909
12641	7	641
4669	15	221
8683	1	925
8799	47	2885
9709	13	1929
25617	175	4199
11605	1	645
2801	11	71
23451	7	6587
2493	19	805
10993	3	1113
8177	1	407
9869	1	319
6807	19	3651
22813	87	1687
6145	13	1265
5639	11	649
4681	21	1939
10019	1	1409
20487	77	373
9211	1	553
3255	9	893
5947	7	3509
10011	1	549
9285	29	1859
1977	11	4231
5783	33	641
7007	1	5055
11845	43	2335
6483	9	91
22601	113	1243
26149	129	1925
12697	13	1469
17447	101	521
209	49	815
14883	25	3259
3629	1	281
6113	1	91
17453	19	781
26403	57	9095
14415	1	1309
16831	7	15153
12353	21	905
9075	7	3469
6487	13	4819
5615	11	1971
5791	1	125
9139	11	4527
5473	7	5777
22741	3	1511
20605	7	2689
5887	1	1071
6843	1	223
4413	1	19
13503	65	3009
15245	1	671
24799	41	1431
6153	1	2441
15853	9	5269
16441	1	541
14655	13	1901
5573	13	1887
10689	1	1055
13345	1	203
22643	1	375
6221	15	267
16113	7	4343
7341	3	797
7657	15	1297
9349	1	319
4885	11	221
8815	7	9823
14813	7	2091
15943	19	10633
6813	1	3829
4601	15	2173
8053	63	1521
19223	39	17859
3677	3	449
27821	23	10219
6489	11	963
265	49	1047
5469	15	43
24971	23	763
11465	13	1265
27649	3	3423
11007	23	1681
11821	1	4469
9129	1	93
2463	35	641
15455	25	1371
6051	15	4003
14409	7	17617
2821	1	485
27359	41	3589
2989	9	201
22337	17	2063
25597	29	11857
5739	1	23997
12079	17	2135
14225	5	289
5377	1	1093
6551	125	3817
10021	1	469
29801	65	2181
10753	1	943
1773	29	385
13463	5	1203
12749	53	861
23277	17	10875
22165	21	1305
4117	11	157
4339	3	8105
8277	17	1
19197	1	927
11819	1	77
13169	21	11831
15919	65	401
3879	1	4323
29497	39	3895
8517	15	53
23551	17	12401
15491	13	861
7269	25	3705
6743	1	223
15385	59	995
8733	1	1509
3627	11	295
11015	29	1081
11899	1	479
8139	1	37
29707	3	495
2199	11	185
8767	21	5867
21421	1	8259
8035	1	7
25697	13	8227
8167	5	941
12453	1	4005
27553	1	375
20017	41	1207
5747	1	461
16089	7	2481
24483	25	2227
14677	7	17363
11431	7	5531
22417	5	441
11199	11	133
10589	11	9
8081	23	13493
5467	1	55
1703	11	295
16695	7	3067
18001	63	1545
8391	1	383
15981	3	5757
27789	57	559
6803	31	10459
18897	71	331
7081	1	545
10653	1	10127
13327	63	1883
4567	1	5749
5639	9	1085
20193	127	4895
4135	3	3027
5915	1	3
21527	77	423
16069	93	949
29725	57	1119
13549	1	1039
20961	27	819
1599	11	671
20847	3	4437
15333	19	2227
16855	37	3907
25015	7	4935
8399	3	637
10003	19	2133
3389	11	21
23123	3	1229
4269	1	35
8955	7	3179
11069	1	923
18981	3	16907
2567	1	19
6191	1	509
8107	19	14695
22091	27	1157
7267	25	1371
11943	43	889
21885	3	1809
3763	3	11991
7317	1	773
4649	3	449
8359	13	2067
10663	1	137
2281	1	769
8739	1	961
28113	17	1587
7323	1	1051
10599	1	555
